Término,Frecuencia
a mí ninguno me para,9
la duda,9
yo no sé,9
con los ojos cerrados,9
mi abuelo,9
problema no,8
mi vida es un flash,8
dentro de mi corazón,8
estados unidos,8
pero te vas a arrepentir,8
uoh oh oh oh,8
la tierra,8
no les miento,8
baila hee baila,8
eres mi mejor regalo,8
ando placosón,8
me siento lucky,8
algo pasa en mí,8
nadie me,8
la plebada,8
don julio,8
porque la vida,8
ahí nomás,8
espíritu santo ven ven,8
un pedazo de cielo la luna deseo,8
"ay, amor",8
la historia,8
la coscojina me da,8
me dueles mucho más,8
amanecer sin amor,8
ya lo sé,8
ya parió la cochi compa,8
sin tu amor,8
que juan colorado,8
el pasado,8
por la mañana,8
la glock,8
ignoraste mis lágrimas,8
bandolera bandolera bandolera,8
lo siento si es muy fuerte la intención,8
mi familia,8
la banda,8
ya no sé,8
sin rumbo,8
mis amigos yo fui más pobre que ustedes también yo fui campesino respetuoso con,8
pero el tiempo,8
jugar limpio no,8
con los ricos de mi pueblo,8
ni el dinero ahora mis siembras son otras de lo de antes,8
el relajo entonces billetes,8
"amor, amor",8
mar vientos,8
y no sé,8
todo mundo curte,8
y la verdad,8
pero yo sin ella,8
por tu maldito amor no,8
aquí en mi corazón,8
boi pra,8
tira selfie com,8
no te olvides,8
todo mundo quer beijar,8
el primer tonto,8
mia arrinconamela,8
por las noches,8
abeja reina,8
los millones trae cerveza cantinero que al cabo el cerro responde,8
la maldita carta,8
con que tu me quieras con que tu me quieras,8
adiós amor,7
me gusta tener amigos que,7
mi clave,7
alegres cantando,7
una mushasha shula de chihuahua me,7
tu recuerdo,7
por qué me enamore,7
decididos y que me sean fieles y,7
me vas a dar el sí,7
quiero llorarte,7
yo te juro,7
la flor,7
me equivoqué,7
con mi camarada,7
si no está,7
años fui,7
otros lugares allá por nogales también agua prieta de esa cárcel,7
y ahora,7
al mirar,7
tantos recuerdos,7
esta noche,7
que te estoy,7
con sentirte a ti entre el cielo y el infierno solo hay un espacio,7
ahí le va,7
cierro los ojos,7
los ángeles,7
shanah tovah,7
uno el rey de reyes de tu corazón,7
del rancho querido que me vio nacer ese rancho de la palma,7
cuatro letras,7
no hay mal,7
francisco lópez,7
se me enchina,7
de volverlo a,7
tengo tantas,7
te di,7
curam caxumba,7
hoy soy poderoso mucho anduve trabajando allá por durango,7
estoy a punto,7
las cosas la vida es curiosa,7
eres mi credo,7
lo nuestro,7
y me enamoré de ti,7
te esperaré,7
aquí estoy,7
los tiempos,7
tú sabes,7
de negro,7
si lloro,7
si ya te vas,7
ese botecito,7
lou lou,7
las horas,7
las noches,7
porque ser mejor,7
de las garzas,7
el señor,7
porque el amor,7
yo por mi parte,7
soy hermano de la espuma,7
bayron fire,7
al tiro,7
grupo frontera,7
el destino,7
el alma,7
al cien,7
las estrellas,7
que mi alma,7
juan él,7
una mentira más y todo,7
tu cuerpo,7
tu sonrisa,7
la vida me,7
yo soy mexicano,7
tuve que cambiar,7
pero todo era tristeza vivía,7
el chino,7
pra fazer,7
de los que,7
mi cuerno,7
que bonita,7
rio negro,7
primero ayudante,7
muy niño me enseñé a sembrar,7
de la noche,6
lo siento,6
medalla de honor,6
ya me voy a despedir,6
ya llegaron las nieves de enero,6
por que solo los tontos,6
el jefe,6
las heridas,6
no dejes que,6
el m,6
le puso inchado ese,6
ese ojo,6
tito double,6
yo te quiero,6
le puso rojo,6
aún te amo,6
algo de ti,6
el tiempo haya,6
y yo voy voy corazón,6
la sangre,6
sin saber de ti sin saber de mí ha pasado tantas,6
le puso rojo un puñetazo en el cajete del ojo,6
"tu tan fuckgirl, yo siempre tan tierno",6
un puñetazo en el cajete,6
pero nada como tú siempre te voy a,6
con las verdes limonadas,6
no eres vino pa,6
si soy infiel,6
nos gustamos,6
yo por ti,6
qué tanto,6
cuando desembolso dos tres fajos de esos que traen el venado,6
yo soy de los hombres,6
un paro de compás,6
una mentira más y el vaso,6
el aire se agota,6
que estoy convencido,6
que estoy enfadado,6
y tú me destrozas diciendo,6
que me están amargando la vida,6
ya no te acuerdes de aquel ayer olvida,6
no te preocupes,6
la fama del muchacho,6
la policía y los ardos,6
monterrey no,6
o tres amantes y algunas trocas del año dinero para gastar a diario vivo tomando y si se me arma,6
del cerro pagándomelo a dos mil,6
mi ajonjolí en los barbechos,6
rancho humilde,6
chu chu,6
christian dior,6
arriba arriba,6
que el mundo,6
no dejes pa mañana,6
por ser tu mujer,6
garantido fazendo,6
corte europea,6
por eso no suelto mis rifles,6
este amor,6
ti a,6
quizá en tu vida,6
has regresado ¿,6
cuanta verdad,6
si me tiras,6
lo que quieras mami te compro,6
toda una vida,6
me cansé de tanta farsa,6
espinoza paz,6
jessy uribe,6
eres la mujer,6
óyeme grábate,6
con la ilusión de amar,6
bro andamos,6
oh me,6
se me ve en la mirada,6
ni me acuerdo me puse a pensar las cosas quería estrenar carro nuevo y le sembré pura mota a las barrancas,6
del cerro ahora ando muy elegante ya me dicen don,6
para matar las ganas,6
la sale,6
no te,6
los vas a olvidar,6
hoy me emborracho picho,6
girl después llórame,6
mi historia,6
lo que tengo,6
yo no se quererte mas,6
que nuestro amor,6
ese bonito lugar que viva tierra caliente,6
me has,6
del señor,6
de esas botellitas,6
un día más,6
matamoros del alma,6
sentir tus,6
solo hay un abismo,6
no te voy a perdonar,6
los estados unidos,6
que sin ti,6
la suerte,6
pero yo no soy de,6
tu te alejas yo,6
los problemas que traigas los vas a olvidar,6
pigarro as,6
porque la verdad que yo sí te extrañé días y madrugadas porque tú más te alejabas de mi ser,6
si me aclaras lo de aquella tarde nuestro amor va,6
la duda la que no me,6
no miento,6
dios y de ti me alejó,6
me estoy,6
otro amor,6
ti aún,6
ya nada,6
de repente,6
dior inhalando,6
rollie datejust 62 conexione,6
jimmy choo,6
hoy te necesito,6
río mi cora,6
perdido y vagando porque tú te has ido no,6
eres flor,6
peek-a-boo otro show,6
alley oop,6
za za za moviendo,6
give me two pasarela,6
me voy,6
aderall me,6
por internet chiquito,6
la mafia,6
jasiel nuñez,6
por internet te digo que te extraño,6
porque te quiero,6
bien rocha de esas que miran mal corta la bocha,6
no puedo acabar,6
con flequillito quiero una rocha que el pantalon lo desabrocha le pedi una amiga y me trajo una bocha,6
con la banda,6
no rechaces mi cariño,6
igual que tu,6
alabê tocou,6
cor o,6
me estaría contigo no me importa,6
los tragos,6
y pa',6
vendedora de amor,6
son tus ojos,6
sinhô é,6
siempre te voy a querer,6
un poquito de ron pa' olvidar ese amor,6
no me queda de otra,6
no te quiero perder,6
carteles unidos,6
de tus ojos,6
todas las memorias,6
soy una dama divina,6
mis ojos,6
dolce & gabbana traigo,6
mary jane no,6
al final,6
que algun dia ya,6
ya los pajarillos,6
déjame que yo te,6
pobre mi corazón,6
micaela ¿qué,6
coco mironga,6
por eso estoy aki,6
con la mirada,6
de balcón en balcón,6
lo que paso conmigo,6
iván archivaldo,6
que mis noches,6
si me muero,6
no sé dónde te,6
a ti,6
sou parintins,6
no sé por qué,6
perdido en tus días,6
dios quiero,6
zocheret hi leilot ahavah,6
no sientes nada,6
porque te amo,6
pávido návido cordón,6
el primero yo soy,6
hoy quiero sacar,6
návida componiéndose,6
los gallos,6
ya trágame tierra,6
zumbando pues,6
no te das,6
nuevo laredo,6
estoy enamorado,6
pávido návido dónde,6
mi cama,6
javier rosas,6
"no llores, mama",6
de mi corazón,6
yo te doy,6
a mi corazón,6
dile que me quieres,6
"te amo, te amo",6
kartel music,6
jurema três,6
san diego,6
porque llevo buscándote,6
se me antoja,6
esto no va a parar,6
ya no te acuerdes de aquel ayer,5
el amor de tu vida,5
una y otra,5
sin ti yo no soy el mismo,5
en el amor,5
no te quiero,5
si tan solo lo supieras que con poco que me quieras,5
soy eneamorado,5
mi trébol de buena suerte prefiero morir,5
ti quiero,5
volvería a tener sentido hoy,5
las puertas,5
qué pa' acá,5
yo te voy,5
la que me ilusiona,5
por ti pierdo el rumbo y,5
si yo en tu vida,5
siempre juntos,5
el tiempo,5
junior h,5
el macho,5
esos pendientes que tienes yo te los quito,5
tu oscuridad para seguir,5
de los besos,5
mí voy,5
"toi corriendo, tout la noche",5
de semana,5
glock me,5
el doctor,5
pido a dios,5
con el corazón,5
javier torres,5
mi gusto,5
dime cuál,5
de crystal mi pobre corazon,5
la sierra,5
domingo yo,5
pancho villa,5
me fumé un porro,5
a agarrar quién iba a pensar quien iba a pensar que un fin,5
no cabe duda,5
al principio dijiste que,5
con el grupo k-paz,5
antes muerta que sencilla,5
deja que yo te busque,5
que a mi frío,5
para el mejor postor de su tonada,5
la orden,5
por pensarte tanto,5
al corazón,5
de ti traigo antojo,5
los guachos,5
la esperanza,5
mi cora,5
por eso,5
del arauca,5
si dios,5
la raza,5
si tú quieres vacilar tienes,5
hoy la vi,5
mi dios,5
afuera llueve,5
manuel torres,5
pero solo soy un simple terrenal,5
por este amor,5
te quiero tanto,5
santa ana,5
el salado,5
mi corazion te,5
que tengas buena suerte,5
todo lo que tengo me ha costado,5
me retiro,5
adrian l santos,5
la andariega dejó de soñar,5
pero ellas viven en mi mente,5
tan bonita que se mira,5
bien loco,5
y voy fumándome un gallo de mota adentro,5
solo existo si me piensas,5
qué voy a hacer si yo soy el abandonado abandonado,5
cuando apagan las luces,5
de sangre,5
y no quiero foto,5
kikiri fua kikiri fua todos,5
que me quieres,5
los diamantes,5
le amo de veras,5
al 100,5
yo quisiera borrar,5
que el amor,5
de tus mentiras,5
me mama el exceso,5
te voy a extrañar,5
de mi cuerpo,5
los consejos de mi viejo,5
jo jo jo a,5
tú eres la mujer,5
grupo frontera!,5
y me pregunto,5
ti din don din don,5
jo jo jo ábranle,5
de mi casa,5
la vida que vivo pa' mi,5
la virgen,5
mis lágrimas,5
una noche que más da una noche,5
los mayitos de sinaloa,5
no extraño tu amor,5
no meio,5
una de ellas,5
no quiero ni pensar,5
que tontos,5
montando en su cuaco,5
me muero por besarte dormirme,5
adios amor,5
você mexeu,5
tú me viste nacer,5
por tu alma blanca,5
le aposté a tu amor,5
qué bonito,5
yo no te voy,5
6 zero,5
cuando veas,5
te sigo queriendo,5
la adrenalina,5
el chico,5
charcas bill,5
porque dios,5
su riqueza comparada,5
que vivir en soledad,5
e balançou a rosa em,5
ni modo,5
por dios,5
san francisco,5
si te vas,5
esa niña,5
botô ovo quem,5
ana raio,5
pero te amo,5
me agarraron descuidado me,5
me muero por decirte,5
ingrato amor manchó sus sueños,5
feliz con el que quiera déjenla que,5
la cosa,5
le pedi una amiga,5
que ella es quien la descorcha,5
party la shorty,5
mi abuelo de 100 años,5
la música,5
mel day,5
yo contigo fui feliz,5
de las mujeres,5
con sus ojos de piña me mira me mira y me mata ahy amor,5
van cleef,5
amor mío,5
las proesas del amor,5
la piel,5
pero a ti,5
a mi padre,5
la porque,5
porque yo te quiero,5
que te tengo,5
te ubieras ido,5
pero no pude aguantarme tuve,5
el caso,5
en el mundo,5
pero tranka que tengo alto lompa,5
porque le di algo más,5
los gfez,5
me haré,5
são joão,5
pero la contradice,5
garantido que,5
jesus cristo,5
que tendra en adelante,5
soy feliz,5
liberdade não tem,5
isso que eu,5
con mis tonterías quiero,5
un día a la vez,5
eu sou,5
puro porte diferente,5
no me voy a arrepentir,5
aldo trujillo,5
pero a mí no me importa nada,5
tu piel,5
el grupo,5
si yo no tengo nada,5
no me busques,5
que este amor,5
hoy muere la ilusión,5
que bonito,5
sigo viajando y esa nube,5
el mayo,5
ya no te quiero,5
pra dispois do fim do,5
y el corazón,5
la veo,5
la banda le gusta mas,5
el respeto,5
gram el,5
costa rica,5
seja sul,5
hasta el final,5
de que me muero de amor probablemente volvieras si en ti,5
tres tristes tigres tragaban trigo en un trigal,5
que dios,5
odio estar solo más,5
eu vou vou,5
me doy,5
sereia com,5
el lenguaje corporal ya estaba muy roto no te tenías que molestar,5
que me eleva,5
que me,5
las putas,5
yo te haría feliz mil vidas,4
con el humo,4
este pobre corazón unidos,4
las fotos,4
tomados de la mano,4
de indio que traigo es mejor,4
las vibras del papel me,4
i wanna be your papi chula,4
me dicen el 09 aquí,4
lo que yo siento mis sentimientos mis sentimientos bella princesa de ojitos negros de pelo largo eres perfecta y tu sonrisa que me fascina que me fascina y no es por hablar de más,4
ambiciono tampoco riqueza la sangre,4
poner punto,4
sheikh abrek,4
un cereal milk,4
tus sueños,4
san pedro,4
el bendito,4
para que deje de ser tu prioridad,4
hp records,4
de la perla,4
ya me voy,4
soñó no,4
de tu bello mundo,4
y me empiezo a ilusionar,4
que cene,4
me robaste la mirada,4
la neta a mí me ayudas,4
cupido me,4
o mestre do mundo é deus eu,4
pues te alejaste,4
te quiero para mi,4
siempre a la orden,4
déjenla que,4
no pararé,4
cuando un amor,4
help ¡ayúdame!,4
gordito de mis sueños,4
ese weon,4
me gustas tanto y eso,4
yoo te adoro,4
estoy enamorado estoy apasionado qué pena,4
el sueño,4
bayron fire fire company,4
con amor me grita,4
te lo juro,4
ese pañuelo que seque tus lágrimas,4
déjame ser,4
si no quieres problemas con tu marido de algún modo tienes,4
mi tarjeta,4
sabroso la guera,4
de la tierra,4
joder borrarse,4
si te burlas,4
que en mi alma,4
cuando estés triste,4
y le diré,4
los recuerdos,4
cuatro espadas,4
despierto en mi cama hay alguien que me ama qué pena,4
me digas que me amas haciéndolo una y otra,4
déjame ser tu compañero,4
las babies,4
ya sé que la vida,4
con muchos besos,4
mi cumbia,4
tell me what you saw tan-tan-tara,4
que eres el amor de mi vida,4
la conciencia que nadie sepa que soy tu amante y que en la cama hacemos arte que nadie sepa que a escondidas nos entregamos,4
el espíritu de dios,4
carolina herrera,4
mis sueños,4
tu tranqui que yo invito recordemos,4
se la quité y me la quitaron,4
quem mexe com juremeiro dá,4
el gobierno,4
el chivo,4
y enamorado quede,4
de tu hermosura,4
con amor,4
por tu culpa nomás,4
abandoné por ti,4
no me gusta,4
te quiero porque tú eres fuego y yo soy la leña,4
no te deje en paz,4
pues muy mal me,4
dentro de mi alma,4
pero mi amor,4
salomé compadre juan como,4
amor de unas horas,4
de perdonarte perdí la,4
cuéntale a,4
me di un salazo,4
no quiero lastimarme de vuelta,4
que hay un loco obsesionado contigo,4
pero ámame,4
un tornillo y se siente,4
te quiero te amo mi amor te adoro me gustas me encantas de todo a todo tus dulces caricias me vuelven loco,4
poeta recomiendo,4
son mi suerte,4
te sigo amando!,4
todas las muchachas,4
tampoco sé qué,4
y perdóname si te he,4
oh cuéntame,4
lo mejor de mi vida,4
te extraño eso,4
sin duda alguna te bajo la luna,4
ya estoy ondeado tus besos me,4
siempre fumando que esta pasando?,4
que ahora me condena,4
prisionera me,4
para ser feliz,4
si te hechas unos tequilas,4
un pasito pa,4
seguiré cantando por el cielo,4
los dos en una simple relación,4
de rodillas te pido,4
todo es mentira todo,4
não ser você ó,4
de sentir decepcion sin un te quiero me canse de querer por querer a una estatua de sal a,4
al saber,4
el virus,4
eres esa luz,4
tú eres el motivo,4
"ahí te va, chiquitita",4
despacito despacito,4
si me alejé de la casa le pido perdón por eso,4
yo quiero que bailes con ritmo,4
porque con música romántica,4
me nublo sin tus labios,4
tu de mi no los tuviste,4
por mami,4
"no hay otra que yo prefiera amor, amor",4
con mi vida te voy,4
de nuestro amor,4
pues yo controlo mi propio consumo,4
las mujeras malas,4
si tú y yo sabemos,4
ya no me molesta si tú estás,4
te escribí canciones,4
no quiero verte,4
que el cielo te perdone tu traición,4
mi cora esta rotó,4
pues de morir,4
ya bien hediondos del cerebro,4
porque mi amor,4
no pienso buscarte me voy para siempre,4
igual que ayer,4
ya quiero olvidarte me hiciste mucho,4
ese soy yo,4
no te saco de mi mente,4
con la botella,4
porque me voy me voy no,4
"te quiero, te quiero",4
y yo yo te quiero pero quiero,4
prisionera culpable,4
lo tienes que gozar sal,4
ay ay ay asi,4
"ey, ey",4
ya me canse tengo,4
para que yo no llorara,4
si no me querias porque me besabas si no me querias por,4
las noches me saben a puro dolor,4
solo quiero que,4
la lluvia,4
mi espada de olvido,4
nuevo león,4
porque tú fuiste la que,4
para ti fui,4
no me importaria morir,4
porque ando con la split de banana,4
antes no querías,4
al fin somos novios,4
te amo y te amo,4
año viejo,4
los hechos,4
muchas chispitas van a,4
por mi familia,4
no quiero pensar,4
dios me,4
moët saquen las putas,4
no vales la pena,4
moët los carros,4
que no quiero,4
ya acabó todo ese tiempo tan bonito,4
para que bailes conmigo,4
ay dicen papá,4
amiga te mire,4
con mis compañeros,4
yo sé que,4
te perdone una vez,4
pero ¿,4
no te enamorarás y así te divertirás,4
la calienta huevos,4
porque el cariño,4
camarón pelón tú quieres camarón te doy,4
são jorge,4
algún día,4
ese botecito que dios te dio no,4
qué recanija calaca,4
ese botecito que dios,4
philipp plein,4
ese botecito mami rico,4
te perdoné una vez y lo volviste a hacer y te burlaste,4
no me interesa,4
porque ya montó el teatro,4
"una más, una más",4
no sé si soltarme o quedarme,4
que me des tu olvido,4
me dices lo siento,4
las consigues solas,4
el 1,4
la guadalupana,4
que me gustas,4
te vez muy bonita,4
con el alma,4
de todos modos,4
bien jalado y bien pendiente estoy,4
a los güeros,4
las pacas,4
del llanto,4
y yo arriesgué contigo,4
y no,4
por la noche,4
no me voy a arrepentir pues tú eres,4
dios porque,4
yo tengo una culebritica,4
refrão é,4
dubai te,4
cuernos largos,4
dime de qué,4
ya me canse de enredarme,4
amigo juan,4
a nadie he besado yo tú dando besos,4
mira como,4
pero no pude aguantarme tuve que fugarme con mis compañeros,4
y voy fumándome un gallo de mota adentro de la troca,4
señor salen,4
la estrella del mar ven amor que te voy a,4
lo cierto,4
puro noreste tirando flow,4
y el alma,4
la verdad no te puedo dejar,4
como me haces falta,4
no pienses que yo nunca te extraño solo,4
te buscaré en cada cosa,4
un poquito borrachito,4
eres mi vicio,4
mi cuerpo,4
hpnotiq mi jale,4
el de la guitarra,4
y el mundo,4
por el infierno,4
yo no soy la muerte,4
no me sirve la razon,4
acá que yo soy para ti tan,4
y mis sentimientos,4
eres más adictiva que licor con nicotina,4
tan peligrosa,4
mi amor por ti,4
me basta,4
telo te lo-te,4
me quiero quedar,4
me quiero quedar porque tú eres mi hogar,4
jo jo jo,4
cada vez somos mas,4
el fuego del amor,4
no me despierte,4
o quizás un títere,4
mi chiva,4
miserable tus mentiras,4
griffin junior,4
playa langosta,4
traicionaste al corazón,4
tan sola tu amor fue un manantial,4
descubro con tristeza,4
tus labios,4
que el tiempo ahora,4
bangkok y,4
tengo un nuevo amor que no me queda nada para ti hoy que estas,4
frog bájele,4
ahora que,4
cabos jetskis,4
puro pa,4
con unas putas,4
brabus patrullando,4
y el pinche jacob,4
el plumas,4
agua de calzón,4
la baraja,4
el 3,4
miserable tu traición,4
ya no sé qué hacer me,4
tanto que yo te he,4
"no, yo nunca podré amar",4
esperare bandido tu corazón y el mio tienen,4
kikiri fua kikiri fua bien,4
qe te aga,4
de las flores,4
tu carita,4
tus regaños siempre,4
ô bota cana pra moer a,4
jamás volver,4
solo tú me las vas a curar,4
te miro,4
el momento para despertarte cubrirte de besos quiero,4
son apegos,4
ya no me importa,4
nuestras vidas que nadie separe lo que dios ha unido paso,4
ya de huir,4
yo también estoy cansado,4
yo no sé cómo vayas,4
yo también he caminado,4
nadie en el mundo que me haga sentir lo que siento contigo vamos,4
pero tú me tendrás,4
solo me ondeo,4
la uso si la saco,4
lo tienes que disfrutar lo tienes que gozar vete a la pista a bailar,4
no solo para la foto no te sientes en la mesa donde hablan mal de otros,4
ya tienes otro amor,4
muy desesperada,4
su boquita inchada sentí ganas,4
mi pecho mimarla mejor me di media,4
no sienta nada ahora,4
cuando me busque y yo por ella,4
mi mente nunca te encuentra,4
de que existe un gran dolor,4
porque con esto,4
me lo retumba un buen corrido,4
pero al siguiente me ignoras niña decídete,4
un día me amas y al otro día me odias un día me escribes,4
por que no logra encontrar,4
no ocupo charola,4
los errores,4
la receta perfecta,4
tú heriste mi vida,4
me gusta cuando el cuerpo,4
el problema,4
el primer tonto de tu vida quiero ser,4
un amor así,4
si te aguantas como yo te lo he pedido,4
el primer tonto de tu vida,4
de cualquier modo,4
el primer tonto que te amo a ti mujer,4
tu dices cuando corazón,4
y la quiero,4
con la mujer indicada me como el mundo,4
con toda el alma,4
fabio guerra,4
yo te quería,4
no va a ser,4
yo vengo de la nada,4
pero soñaba con tener,4
que a mí me enseña en la puerta que,4
alcemos nuestra copa,4
andrés ortiz,4
juan juan,4
no quiero que le pase,4
gracias a ti,4
tantas veces los momentos,4
"nos queremos, nos amamos reconozco te he fallado reconciliación",4
gracias al ser supremo,4
alguien te,4
quieres mamá,4
yo no fui aquel,4
viviana ¿quién,4
concha del alma,4
no cuentes conmigo,4
el año,4
el corazón valiente voy a quererte voy a tenerte,4
el mejor papá,4
la camisa,4
no sé qué voy a hacer sin ti,4
ya déjame amarte,4
solo con mirarte me doy,4
si la sabemos gozar,4
wild and free young,4
vivir feliz,4
fotos aquí,4
bailar ahí,4
le gusta mucho,4
que le regalen una hermosa rosa roja ese detalle,4
si yo estuviera en ti,4
ellas me excitan,4
no me anden asiendo panchos,4
eso mi amigo,4
más tarde,4
no voy a dejar,4
y yo sé,4
waffle house,4
por darme un buen ejemplo,4
lo que no sabes,4
"para olvidarte, me comí otras pieles",4
si a ti llegara,4
el perdón si aún,4
sintieras amor quisiera que,4
mi nuevo amor,4
tú estás horny,4
cuando me dejas dormir,4
o solo acompañarnos será nuestro azar,4
mis heridas,4
que un mal amor vista,4
lino rodarte,4
"ay, mamá bélico",4
que te quiero,4
ingrato amor rompió sus alas,4
ya no me pesa gastar los billetes,4
perro cochino quitate,4
hollywood no,4
de perder tú,4
yo sé perder,4
a tus brazos,4
y me muero por volver y volver,4
cuando mi cuerpo,4
de verdad,4
francisco i. madero,4
pero me llegó el momento,4
yo te amo,4
sin que se trabe la lengua,4
si me la aventé,4
todo es amor,4
por que tomados de la mano,4
no hay nada en el mundo,4
mi niño,4
con madurez me voy a retirar,4
y voy a sonreír,4
marca mp,4
un puñetazo en el cajete del ojo si,4
con los ojos cerrados siempre le amaré con los ojos cerrados yo confió en ella,4
me fumo un poco para avionarme,4
la leña verde,4
los buenos momentos,4
un besito en la boca,4
tu boca se pone roja y me la quieres mamar te meto el pito todo,4
se le enoja,4
tantas flores,4
el otro dia la chepina,4
yo te doy mi vida entera te la doy,4
los momentos,4
igual y te explico,4
pero así decía,4
con mil demonios,4
puente grande,4
mi abuelo vino,4
no creo,4
no puedo vivir sin ti,4
lo bueno,4
"me lastimaron tus mentiras y tu adiós creíste, tonto",4
yo viviré será difícil,4
me nortié,4
querreque querreque querreque querreque,4
un día,4
blam blam,4
llorando tienes tus,4
si no es ahora,4
lo estoy soportando no tengo miedo,4
ya no quiero que regreses porque en tierra,4
"ya hasta el perro dejaste escapar te amaba, lástima",4
tantas copas,4
el viento y segurito que nos vamos a encontrar,4
con todos mis sentimientos,4
sin tu presencia,4
a causa de su partida,4
le traigo un agua de piña,4
pero ahora,4
no les des acceso,4
la causa de mi desdicha,4
todos los celos del mundo mi vida,4
no me prohíbas salir tienes,4
arriba guanajuato,4
una agüita de papaya,4
es verdad la voy,4
ya no te tengo,4
cuando tú me veas,4
con diez noches de desvelo,4
de tu inconciencia,4
de ver a diario,4
para el calorón una agüita de coco,4
una reina la gran,4
y me cambió y aunque no estés aquí,4
no me digas nada,4
porque mi vida,4
que las mariposas,4
pero eso no lo comprende el corazón,4
são salvador,4
pra ela,4
pra você,4
é bem melhor sair,4
bien locote fume,4
al diablo lo nuestro,4
amor verdadero,4
tantas cosas bellas,4
sin ti seré,4
con lo mío mío mío,4
una nube baja,4
mi corazon lo que te doy,4
me llevare la dignidad de no caer mas en tu juego hare,4
extrañando a mi familia,4
bien alucinado,4
zumbando los ranas,4
la santa,4
con un toque bueno,4
no me importaría moriré,4
desvéname sígueme,4
por tu culpa,4
yo aquí te espero,4
ignórame acepto,4
no sales de mi mente,4
"como tú, hay otras cien lástima",4
me agarraste de pendejo,4
me jodiste las ganas de tener algo bien cuando te vi,4
cuando mando un tqm,4
porque cuando te levantes te,4
dom pérignon,4
se te nota,4
todo el mundo,4
a punta de tostonazos,4
mi experiencia,4
por eso no te pude,4
una llanta del carro,4
de lejos es mejor,4
no por mí,4
tal vez en otra galaxia,4
que esta noche,4
el me mintio el me mintio,4
yo te amo pero tú buscas sexo y nada mas yo te amo pero tú de amar bien no eres,4
tal vez ahí sí,4
el agua,4
hasta la miel amarga,4
camino voy,4
te vi nada pude decir siento que,4
la última muñeca,4
del infierno,4
las nieves de enero,4
no te fijes,4
dior andamos,4
bagatelle no,4
cell en pasarela,4
sol tan,4
tan cierto como el aire que respiro,4
y tú ni me miras,4
belik le,4
tu y yo,4
coro voy,4
corazón de piedra,4
no vuelvo contigo,4
dime por favor,4
corazón de papel,4
glock ella givenchy,4
bagatelle parece,4
voz de que me,4
siempre pienso en ti,4
por quererme tanto,4
no quiero llorar,4
ni el certificado,4
no tengo esas listas de las bocas,4
siempre que me vienes,4
mi cabeza,4
si me quieres,4
el señor es contigo,4
que no vale madres este amor,4
viviana ilusionada,4
a la mala vibra le digo,4
aquí matamos la pena con alcohol,4
sol bad vibes,4
y bendita eres,4
sin tu latido,4
sin el alma de tu cuerpo,4
"ay, amor mío qué",4
sin ti mi vida,4
tus besos y copas,4
lejos lejos donde no me hablen de ti a,4
las calles,4
nuestro amor sera,4
y eso tú lo sabes,4
mar fazer balanço,4
nunka te diste,4
si vieras yo como te recuerdo,4
combinan con tus ojos,4
meu caprichoso é assim!,4
si te hago tanto mal,4
rio viento,4
la musica mexicana,4
