Término,Frecuencia
ya no maten a gente inocente,1
los terceros,1
los grandes siempre contra los grandes,1
ya me voy,1
mafia de la calle,1
mucha gente en el velorio,1
ese pueblo de coloma,1
de tamazul,1
al 14 un gran amigo,1
que es jefe,1
el me apoya en esta guerra sigo,1
no miro buenos con tranchetes,1
ese humo,1
ya sea coca original,1
cuando los tenga,1
"con el ráfago que traigo, los trozo y no es paniquiada",1
ya cuando baje,1
a mí me encanta la altura,1
con aceite de cocer,1
le pegaba unos llamones,1
el alto,1
puro paso,1
aquí no andamos haciendo bulto,1
tirando línea,1
mejor me hubieran matado,1
les traigo un odio,1
"si por muerto me dejaron, me la pagarán",1
no los quiero acelerados,1
les voy a dar instrucciones,1
va a haber ajustes de cuentas,1
al rato hay encobijados,1
antes me hacían muchos paros,1
son las reglas de la mafia del cartel de los pesados,1
el perro ni quemándole el hocico,1
sigo la orden del jefe,1
del respeto,1
con la sangre de mi pecho,1
por nada desaprovecho defenderé,1
de coloma,1
"le decían ""el torreoso",1
por las calles él paseando.,1
arón beltrán,1
raúl beltrán,1
no pudieron despedirlo,1
si le fallamos al viejo,1
ser derechos en la vida les encargo,1
unas banqueteras,1
al buen arturo beltrán,1
lo que a ti se te cantaron,1
la vida en la familia,1
tus memorias recordamos.,1
mis bendiciones a todos los que en verdad me apreciaron,1
bicentenarios de oro brillan,1
con punto,1
de ese parque quema el rifle,1
mi pistola ni se diga,1
ni abro los ojos,1
todos traemos el virus,1
no tarda en desarrollarse,1
la célula de este virus,1
con puro,1
kalashnikova cumplen,1
y otros ven como salvarse,1
lo alejan bien del peligro,1
buscando a sus enemigos,1
las granadas y hasta bazucazos,1
el comando cincinnati,1
cuatro palabras,1
todos me dicen el negro,1
las morras,1
los versace,1
silver lv,1
la mente siempre en mi línea,1
el roble,1
me dicen que soy arriero,1
si les aviento el sombrero,1
las morritas muy bien bailaban,1
la doble p. ¡los corridos tumbados! ¡así nomás,1
si no es alguna plebita,1
señor de los gallos,1
ahí están los élites,1
dios!  me,1
porque si me salta un gallo,1
"eso, pariente!! báilala",1
dios!  soy,1
félix gallardo,1
miguel ángel,1
licenciatura en comercio,1
no había errores,1
pablo escobar,1
rodríguez gacha,1
jc music,1
junto con el famoso don neto,1
caro quintero,1
yo sé muy,1
beretta para,1
yo no ando con chingaderas,1
las onzas él las invita,1
una toyota gris,1
don lupe,1
el corrido natal del molino,1
soy de rancho!,1
los mejores consejos de un viejo,1
ju-ju-ju-ju-uy! vamos,1
con tres balas expansivas junto a,1
nuevo laredo,1
el apoyo lo recibió del cártel,1
a todita su familia,1
la santísima muerte,1
a la orden,1
soy panchito,1
emilio varela,1
les pidió sus documentos,1
una hembra,1
la traición,1
"con la parte que te toca, tú puedes rehacer tu vida.  ",1
bien forrados los paquetes,1
sonaron siete balazos,1
la policía solo halló una pistola tirada,1
de la cabeza,1
porque es grande entre los grandes,1
del infierno,1
los radios y las metrallas,1
del techo,1
"joaquín ""el chapo",1
sobresalió entre los grandes,1
soy el tío para mis sobrinos,1
"chapo"" guzmán",1
m grande,1
un agente federal,1
amistades de grandeza,1
doble p! ¿ah,1
robando carros,1
manejando por la línea,1
moví mota,1
somos de la vieja guardia,1
don mencho,1
el charco,1
aquí rifamos el cuero,1
soy de jalisco,1
cártel cjng,1
tocan al ratón,1
buen ritmo para la bailada,1
montado en la merced,1
gobierno comprado,1
que truenen,1
una con siete chinos,1
señor de la montaña,1
puente grande,1
los plebes están bien zafados.  ,1
siempre amafiado,1
dos cheyennes,1
doble p! ¡así nomás,1
pero así es esto.  ,1
me enamoró el dinero,1
siempre amafiados,1
a un rzr,1
pero así es esto,1
no me importa,1
empecé chambeando recio,1
tía me,1
pero hoy me he superado,1
soy descendiente,1
hoy sé quién está conmigo,1
soy el vago del vecindario,1
hoy las cosas,1
eres como la sandía,1
si quieres que otro te goce,1
no tengo padre ni madre,1
solo la cama,1
por la sangre,1
jesús maría,1
el mayor,1
sección! ¡ay,1
jesús!  para la ch,1
en el gabacho,1
puro belicón,1
sushi ranch roll,1
calle!  soy,1
pura plebada de huevo,1
el que de la cabina,1
carros deportivos,1
todos mis muchachos,1
peso pluma,1
las doble rodada traen el cincuentón,1
aquí me despido,1
no quiero disturbios,1
si la andan cagando,1
luis r. haciendo verdes,1
varias cheyenes,1
san judas,1
la virgen,1
hemi me espera.  ,1
de los que debo cuidarme es de los hombres de negro,1
tres compradores de polvo,1
los billetes reverdeaban de una maleta de cuero,1
isidro pérez,1
ya con el tiempo he aprendido a limpiarlos,1
"cuando festejan, suena la tambora",1
todos unidos,1
puerto rico,1
gerardo ortiz,1
son muy activos para estos servicios,1
no todo es mío,1
"somos sanguinarios, locos",1
para mi gente linda de méxico,1
siempre en caravanas,1
para hacer sufrir y morir a los contras,1
pancho villa,1
el macho,1
equipo violento,1
soy el número,1
las cosas de siempre,1
manuel torres félix,1
cuatro años de aprendizaje,1
con mensaje escrito,1
impartió licenciaturas,1
virus ántrax,1
grandes jefes,1
ni modo,1
no llores ni te sientas mal,1
la candelaria,1
ni les temo,1
tus lágrimas,1
la bajamos en,1
de lleno,1
al diablo le he de rezar,1
puerto rico!,1
a mi compa,1
el dasa,1
mi padre no se rajaba,1
los morenos,1
casi ni duermo,1
las amistades,1
algo planea mi cerebro,1
me siento bien traicionado,1
al gobierno del estado,1
ya sabrán quién es el mayo,1
ismael zambada,1
yo abogaré,1
lo de javier de los llanos,1
yo no respetaré rango,1
con los que me asesinaron,1
mario aguirre.,1
nadie engaña a este ranchero,1
"lo pagarán, lo prometo",1
de repente,1
mis piernas no se movían,1
con esto vuelo más alto que tu chingada madre.  ,1
me aventé tres pericasos,1
"les dije: —pruébenla, güeyes",1
aprovechando la vuelta,1
bienvenido al mundo real,1
tus manos están temblando,1
nuevo león,1
a mi familia el precio,1
ya me tenían la respuesta,1
mi browning,1
el dinero trae problemas,1
me contestó un r-15,1
que ese,1
de colombia,1
yo fui amigo de mi pueblo,1
cártel de juárez,1
el negocio me dio bastante ganancia,1
mis colegas argentinos,1
una enfermedad me sacó de la escuela,1
una vida de misterio,1
la inyección,1
tal vez no regrese,1
ya casi perdía la vida por allá en el arroyo seco,1
a una .38 súper subió,1
"le dicen ""el comandante",1
los consejos de mi padre,1
le tiene cariño al jefe,1
joaquín guzmán,1
saludo al chapito lomas,1
no necesito correr,1
soy de botas,1
con frijoles,1
no ocupé más de un buen catre y un cobijón,1
calorón macizo,1
eah!  soy de rancho,1
veo que me tenían respeto,1
ahí me metí,1
pasaste hambres y tristezas,1
agua caliente,1
tú me cuidas,1
al estilo siciliano,1
el niño,1
soy pistolero de un jefe,1
al juez eterno,1
esta oración de mis pasos cuida,1
ser sicario ahora,1
bad bunny,1
recé tres ave marías,1
empuñé mi rosario,1
un frío recorre mi cuerpo,1
tú sabes que yo no soy malo,1
soy culpable y he pecado,1
la muerte,1
por mala suerte,1
cómo extraño el rancho,1
perdón a mis jefecitos,1
"para el que se pase de vivo.  pónganse trucha, cabrones",1
nata! uh,1
¡puro calibre 50,1
la mayoría eran ganadas,1
cumplió la orden del señor,1
aquí somos de rancho humilde,1
los del barranco,1
pero si yo fuera pobre,1
las piedras,1
nunca agachen la cabeza,1
empuñando una metralla,1
río grande ya,1
mónico de luna,1
y uno,1
aún después de caído,1
no corran,1
con un balazo en la espalda,1
no los creía tan cobardes,1
chon garcía,1
no más sálganle al camino,1
de reynosa,1
laredo anden,1
ya con ésta me despido,1
lo que se presta,1
no me gusta mentir soy sincero,1
compro un kilo,1
compro y vendo,1
el patrón gastándose la lana,1
para que el cliente,1
detectaron de heroína,1
ya lo saben verdad compañeros  por ahí nos dicen los boquiteros,1
los de arriba,1
mucha gente critica mi vida,1
por que trabajo contra la ley,1
no lo niego eso lo sé muy,1
pero el dinero,1
la pobreza,1
si me ocupan me marcan al bipper,1
chapo las,1
un traficante famoso que todo el mundo,1
de la noche,1
de gatilleros mafiosos,1
del güero palma,1
de sudamérica,1
qué bonitos,1
mes de octubre,1
padre nuestro,1
que dios,1
tampoco me miren feo me,1
los pinos me dan la sombra,1
mi rancho pacas de a kilo,1
soy mediano de estatura,1
amigo de los amigos,1
sierra de coahuila de sinaloa,1
tamaulipas chihuahua,1
si me quieren conocer en,1
los amigos de mi padre me,1
la casas de mí pistola de buen oro,1
jalisco laboratorio,1
mis manos no tocan nada,1
por ahí dicen mas de cuatro,1
como una potranca fina soy coqueta,1
de las sobras,1
no habido hombre que me aguante mi rienda ni mis guaridas en el famoso,1
por ahí no estamos viendo,1
puso el mundo de cabeza,1
el zar de la cocaína,1
pero cayó en medellín don pablo escobar gaviria  valor,1
lo sacaron de envigado,1
su fortuna calcularon ¿cómo,1
los gringos,1
cinco mil vidas,1
ya mataron a papá decía,1
porque el hombre siempre busca,1
lo que jamás,1
la tierra,1
dijo su madre en un rezo porque del polvo saliste tendrás,1
al norte del continente donde,1
américa latina no,1
por el negocio,1
que me quieren agarrar ruéguenle,1
tal vez era respeto al convento,1
que en sus barbas la droga,1
el agente,1
qué de donde venían,1
dijo el jefe de los federales,1
muy serenas contestan las monjas,1
son tesitos y leche de polvo,1
destinados pa los huerfanitos,1
yo les pido disculpa,1
pero quiero sacarme la espina,1
yo presiento que la leche en polvo,1
ya no van a tomar su lechita ahora,1
por ahí dicen,1
sacramento de durango,1
porque les puede pesar,1
chapo guzmán menos,1
mi gente se me enloquece,1
ya mucho tiempo fui pobre,1
mucha gente me humillaba empecé,1
las cosas están volteadas ahora,1
yo me paseo,1
dos hombres que me acompañan con un cuerno,1
de vigilancia dos carros,1
por si sucede algo extraño voy,1
como comprar unas flores quiero,1
amigos que están conmigo,1
las traigo siempre,1
mi orgullo es ser,1
sinaloense lo,1
les canta en su gallinero,1
dos muchachas muy chulas,1
ja-ah ¡viva méxico!,1
si no saben torear,1
mis animales son bravos,1
ni armas me gusta,1
yo soy un agricultor,1
culiacán no,1
miguel félix nomás,1
mis aviones y mis ranchos,1
a grandes jefes,1
por eso en todo el país,1
de un pistolero de fama  por el norte,1
como el tigre de tijuana,1
de texas,1
de la amapola,1
pero siempre andaba solo  una vez que lo agarraron con la droga en san francisco,1
lo echaron para la frontera,1
una venganza muy negra,1
con el demonio metido preparo muy,1
a un ladito de la aduana  y así ya muerto,1
de nuevo para tijuana  murió el tigre de tijuana,1
el pistolero de fama y aquella horrible matanza,1
con ellos gano dinero,1
son animales muy finos,1
mi perico,1
mcdonald's aprendí,1
burrero ahora,1
sé que me busca el gobierno,1
mi escondite,1
el dinero en abundancia,1
por eso yo me lo gasto,1
ven dinero,1
pero no es obligación,1
donde quiera me paseo no me gusta,1
ahí traigo un cuerno de chivo para el que le quiere entrar,1
señores andan,1
zacatecas a un federal de caminos,1
donde fue aquella masacre decía,1
lino quintana,1
mis compañeros han muerto,1
y yo lo siento,1
sheriff porque,1
solo las cruces quedaron cuatro,1
los otros tres del gobierno,1
por ellos no se preocupen,1
el candil otros,1
el altar,1
el parral,1
nadie los,1
tamaulipas los,1
por eso los recordamos,1
y a la escuadra,1
la cerca de la tortilla,1
javier peña,1
"gerardo"" recuerdo",1
"por cierto era martes trece ""ponte el chaleco de malla",1
para poder darle muerte a javier el valor,1
porque era del mero norte javier,1
los estados unidos diez,1
de mi méxico,1
escúchame hijo te,1
whatcha talkin' about dad?,1
wanna go back to mexico,1
otro idioma han aprendido,1
de mi trabajo a mi casa no sé lo que me pasa que aunque soy hombre de hogar casi,1
río bravo me,1
los dólares son bonitos,1
el faro de una patrulla,1
un emigrante gritaba,1
una sirena,1
el paso,1
a la calle navidad,1
entraron josé,1
ramón y,1
esperándolos simón,1
les pago don nicanor,1
"eso sí, de lo mejor",1
un carro negro,1
varios tiros de pistola,1
esa noche de terror,1
dos muertos y tres heridos,1
la ambulancia levanto,1
de ahí desapareció ahora,1
ya ve la gente,1
el dinero completito volvió,1
estábamos desesperados que,1
les dije a mis compañeros,1
llorar yo,1
por todita la estación,1
a mi madre,1
ya viene llegando el tren ya,1
le pregunto a mr.,1
me contesta no señor pasaremos,1
luisiana derechito,1
la pena de un prisionero,1
ahí te mando madrecita un suspiro y un abrazo aquí dan fin las mañanas,1
del contrabando del paso,1
del sur,1
que los había denunciado,1
la que está en,1
mexicano no,1
sierra de chihuahua,1
yo sé perder,1
que las malas compañías nada bueno,1
linares la,1
josé perales nada,1
al niño,1
lo acribillo con un mauser,1
sin tenerles compasión,1
el palmito,1
francisco beltrán ellos,1
había matado derecho,1
francisco beltrán,1
otro día,1
con la banda sinaloense,1
y dos madrecitas lloran,1
por sus hijos adorados,1
ya con ésta me despido y les digo en mi cantar,1
lo digo por el corrido,1
ahí murió juan el grande pero,1
sierra me,1
ahí aprendí a hacer las cuentas,1
me gusta burlar las redes,1
que tienden los federales,1
muy pegadito a la sierra tengo,1
qué chulas,1
con colitas de borrego,1
los amigos de mi padre,1
me admiran y me respetan,1
levanto las avionetas,1
de diferentes calibres,1
el tigre,1
que un día me van a matar,1
no me asustan las culebras,1
cuando llego el gatillero,1
los quiere a la luz del día o,1
de ahí te vas a cerralvo,1
bravo y,1
no pude llevar la cuenta en la rivera del,1
m60 cacareaba,1
el rojo,1
lo llevaban esposado un sargento y dos soldados,1
los que llevaban la yegua,1
tenían valor,1
camargo junto,1
y los changos,1
sierra buscaban,1
juan sarmiento quisiera,1
pero me está prohibido,1
primero encuban el huevo,1
anastasio pacheco principal,1
al señor,1
víctor ayala le,1
víctor ayala,1
y tengo plata sellada,1
real de los reyes,1
decía timoteo gonzález,1
"víctor ayala ""compadre",1
murió anastasio,1
esa razón y fue un llorar sin consolación vuela,1
de ese,1
anastasio pacheco murió anastasio,1
esa razón y fue un llorar sin consolación,1
para los trompos,1
se que me mandó,1
me estorba liborio cano,1
josé perales,1
tengan cuidado,1
el miedo no lo conozco para eso no tuve suerte,1
el que pilotea,1
hasta el tronco,1
metralleta americana adiós,1
banca nacionalizada,1
alfredo ríos galeana cómo,1
mz otros,1
hasta los recién nacidos,1
y el hombre,1
lo soluciona a su estilo,1
los contras quieren matarlo,1
las órdenes,1
solo las claves,1
las broncas yo las arreglo,1
la gente sigue operando y el m nomas,1
los viajes son escoltados,1
no hay duda la mafia reina,1
por ahí aterrizan jets,1
ya les canté este corrido a,1
por ahí llegan avionetas,1
por ahí retumba la banda,1
por ahí truenan metralletas,1
la fiesta,1
para aquellos que andan hablando,1
de la gente,1
para eso se pintan solos,1
porque no me hablan de frente acaso temen al mono ya saben con quién,1
navojoa municipio,1
guasave  a,1
todo lo que tengo,1
solo la vida les debo,1
a mis padres,1
los extraño,1
una gran daga,1
acapulco tal,1
pero no van a atraparlo su presencia infunde miedo,1
lo reclaman vivo,1
unión americana,1
pongan atención señores,1
la muerte anda entre las sotas,1
y los caballos,1
bastante dinero,1
luego subieron de todo,1
de la manga,1
pero un mirón a su espalda,1
eso no se le hace a un hombre,1
la muerte no quiere lana,1
pero le encanta el relajo,1
la baraja,1
así sus cartas,1
orgullo de sus hermanos cualquiera,1
no le temblaba la mano,1
ramón arellano cuerno,1
varias granadas de mano,1
veinte años en el negocio,1
no los aguanta,1
así nació de valiente pues,1
y disparar su pistola,1
les disparaba en la cara,1
ramón arellano nadie,1
orgullo de sus hermanos,1
sinaloa bien,1
siempre al estilo italiano,1
﻿reclusorio sur,1
ya se te acabó tu fama ya no eres tan tenebroso,1
alfredo ríos galeana,1
las quitaré del camino,1
banda fuego,1
mexicana dicen,1
lo persigue el gobierno gabacho,1
rancho el chilar,1
que toquen vida mafiosa,1
los canelos,1
que en mi memoria,1
para gallos en mi tierra,1
alfredo beltrán,1
siempre los miro cargados,1
por eso es jefe en la tribu,1
caricias para las damas,1
odio de dos,1
el 7,1
para un buen amigo,1
un amigo se metió a la mafia,1
todos le dicen el centenario,1
con bastante carga blanca,1
carolinas florida,1
las vegas,1
siempre te andas rifando el pellejo,1
las broncas no tienen fin,1
pero no los veo venir,1
mi hermano y compadre,1
cuando peleando me ve,1
"morimos juntos, lo sé",1
uh! tengo suerte,1
con una silla de plata,1
feria ganadera,1
santiago meza,1
comando 4,1
no se sabe la hora,1
tomaron toda la noche,1
canelos de durango,1
otra tumba en san ignacio,1
le dieron aventón al contrario,1
cómo te extraña tu gente,1
con muy buena puntería,1
con la izquierda un,1
r15 disparando,1
son pocos los que,1
el señor hoy está preso,1
iniciales jt admirado,1
javier torres,1
por la mafia,1
ese tramo de la quince,1
de el salado,1
de culiacán,1
salado del cajoncito a la ilama,1
nos perdemos la esperanza,1
de otra vez verte enclicado,1
los números andan fuertes,1
hasta el rosario,1
judicial federal,1
de la mafia,1
un lugar de trofeos,1
porque temen vaya,1
pero yo estoy dispuesto a matar pues,1
el gobierno me quiere juzgar,1
los delitos,1
yo por ellos me enseñé a robar,1
hoy mis bienes me quieren quitar,1
arrancando las hojas del árbol no,1
yo soy fruto de la corrupción,1
adelio lópez,1
adelio lópez falcón,1
miami de,1
un día desapareció teresa,1
soy de arriba de la sierra tierra,1
por qué no lo denunciaron ya la carga,1
donde yo me la paso,1
mi trabajo y valor me ha costado,1
los que intentan,1
yo navego debajo del agua,1
pues me gusta,1
el que quiera ser hombre derecho,1
sin talento no busques grandeza porque nunca la vas a tener,1
muchos grandes me piden favores porque saben que soy el mejor han,1
por el rumbo de ensenada,1
por poquito,1
el asunto,1
dar luz verde,1
este asunto yo he sacado,1
del archivo periodista,1
en el lado americano,1
si te descuidas te atrapan,1
tener muchas mujeres me gusta mucho mas que linda muchachita la que yo estoy mirando,1
pero esa boca tuya me,1
aquí estoy para darte,1
ya te traigo en mi lista,1
no se pelean ni discuten,1
ya saben de que,1
a las tres las quiero,1
porque son la crema,1
siempre las traigo conmigo me,1
no puedo vivir sin ellas,1
son mi mayor alegría,1
me dan poder en la vida,1
camello primo,1
las tres mujeres,1
si pudieran estar a mi altura pues,1
ya se quieren pelear con el gallo,1
porque a mí el periodista me quiere,1
nunca van a mirar,1
gratos recuerdos,1
estaba arnulfo,1
"le dice ""oiga, ¿qué me ve?",1
el rural muy ofendido,1
con la pistola en la mano,1
el teniente malherido,1
pero en la vuelta,1
que bonitos,1
el teniente era hombrecito,1
cuando llego al hospital,1
aquí termina el corrido del teniente,1
está rodeada tu casa  hermano,1
está rodeada tu casa  son puros nervios,1
porque yo no he visto nada,1
así le dije a mi hermano para que hicieran confianza  sabía que estaba rodeado e,1
no entraron pronto por mí para,1
me pelé en la madrugada  eran 15 hombres del,1
soy más astuto,1
van yo,1
les coloqué unas granadas en una forma especial  todo,1
por aquellas explosiones la casa encendida en llamas,1
noche  para,1
que me les pelo,1
me escapé de san quintín,1
sierra soy el gato de,1
"sí, a mí también me gustan",1
porque en ellos,1
señores me,1
ni mi nombre,1
cuando cae la policía,1
que no estoy arrepentido,1
del otro lado del mar una mujer muy valiente que no la van a olvidar,1
cuando lo escuches prietita no trates de contestar,1
el señor de la montaña también jefe de la ciudad amigo,1
lo es y será,1
por eso el azul del cielo,1
lo respalda un coronel,1
a mi amigo el coronel capitanes,1
un chinacate que cuida cuidan mochonos,1
que de noche,1
de ciudades a la sierra y de la sierra a fronteras especial al capirruri que,1
lo que el tigre trae pintada,1
pero es fiera,1
escuchen muy bien,1
para la reina del sur traficante,1
teresa mendoza el güero,1
"tere ""te",1
"y tú, tendrás que escapar",1
con mucha sed de venganza,1
al cartel de ciudad juárez les,1
cessna en la sierra,1
"dijo epifanio vargas ""teresa",1
y te tendrá que ayudar,1
con don santiago fisterra juntaron,1
para los dos continentes,1
manolo céspedes,1
le vende la droga a,1
mexicana a,1
su tierra,1
con bota de cocodrilo,1
usaba cinto piteado,1
era la reina del sur,1
tierra natal teresa,1
de valientes están llenos,1
san diego sonó,1
el county,1
si traes el clavo te espera,1
para darle gusto al dedo,1
hoy solo se oye que rugen no se respeta al gobierno,1
hoy tan solo se pelean nada más por unos gramos,1
daba vergüenza por eso,1
no era muy buena la fama,1
ya con esta me despido tengan cuidado soplones,1
porque la mafia,1
al otro día,1
por toditos los rincones,1
oficial! soy el dedo,1
"oh, shit",1
highway patrol,1
cougar hey,1
los de la cajuela,1
de polvo blanco,1
"eso sí, bien preparados muchas docenas pasaban",1
porque era libre mercado,1
los de la migra,1
que los habían albureado,1
que el carro,1
con muchas cajas de huevos en la cajuela cargados,1
disneylandia lo,1
por el radio le decía,1
las patrullas,1
así me lo reportaron,1
si un apretón duele mucho y más un clavo enterrado,1
se los enseño,1
soy de la ley,1
te voy a esculcar los huevos,1
con mis intenciones,1
